sample_id,condition,batch
00000c20-b875-4821-8d4b-c50d7a7f9879,0,CGCI-HTMCP-LC
000b6b94-572d-4d06-a8f4-2e43829f83d4,0,TCGA-LUSC
018f8802-127f-4e25-a14c-46caa3e4daa1,2,CPTAC-3
84f2b69e-86e5-4bf6-a11c-289b1971775f,0,TCGA-LUAD
850bb68e-cea7-4d66-b044-24dbef74e255,2,TCGA-LUAD
854d3e91-a19b-4dd4-96a6-996011666d09,2,CPTAC-3
855b04fa-b81b-4270-bdaf-86419df3f94f,1,APOLLO-LUAD
857fbc73-c2db-4bf4-8a93-55a8ecf3d5ef,2,CPTAC-3
85af2402-d1a0-418f-a2c7-053cb6af85d6,1,CPTAC-3
85c794c1-3fd0-4a10-a613-9db7eff3c78f,2,TCGA-LUAD
0e15d2fa-39c9-4c33-8dd2-f4ab063009c1,2,APOLLO-LUAD
85feefbe-6aad-430b-a882-c71e4a5d1e07,0,TCGA-LUAD
864c2830-c699-433c-bcba-20f0c692854a,2,TCGA-LUAD
86757083-5e47-423f-91e3-5f2ad6779b27,0,TCGA-LUAD
868f6883-6e7b-4565-ae15-813e282d8635,1,TCGA-LUSC
86a2ee36-5226-4c75-95e9-81c5061533c9,1,APOLLO-LUAD
86bad1b0-ea08-4810-a99b-cd4af9411e3a,1,CPTAC-3
86ce663f-9823-4582-8ed9-898cae3edf9f,0,TCGA-LUSC
86d50377-58c8-4653-8e0b-2fa840c10a3e,0,TCGA-LUSC
0e480f18-0e72-444e-b7e1-956a439471ad,0,TCGA-LUSC
872a3582-a688-4c36-b00f-0bf84686d9f9,2,CDDP_EAGLE-1
873771c7-b709-49cf-805f-817a2b091979,2,CPTAC-3
8760865b-d1be-487a-9590-6e9ad5af3ab7,1,CPTAC-3
878053b9-af35-40a0-9f6d-f844ac7354c4,1,CPTAC-3
878bd922-f4b1-4fa0-bc0b-387d4356b0dc,1,CDDP_EAGLE-1
87a57282-169a-4061-9d04-1dc66df154ec,1,CPTAC-3
87b1a89f-591c-4d6b-929d-2eae2951740e,0,TCGA-LUAD
87c3334a-2ab0-4cdc-a72d-2efb90452f18,1,CPTAC-3
87cff156-904f-4b52-940f-95d0b3e6bbc6,2,CPTAC-3
87d1edd3-df03-4046-a888-86baa85639b6,0,TCGA-LUAD
87db2f51-5565-4904-a158-08180ce0da83,2,CPTAC-3
87db73f9-c9db-4797-b02e-28373c9b5bbb,0,TCGA-LUSC
883bbed6-0216-48c2-9694-5dba83ce65c7,0,TCGA-LUAD
88489522-a5e1-4fae-a8a4-2102c0e4c309,1,CPTAC-3
